date,tesla,general motors,GM,ford,car,oil price,industry,supply,self driving,autonomous vehicle
2016-12-11,4,0,5,33,79,12,32,80,1,0
2016-12-18,4,0,5,34,79,9,26,74,1,0
2016-12-25,5,0,4,38,80,8,22,65,1,0
2017-01-01,4,0,5,37,81,9,29,70,1,0
2017-01-08,4,0,5,37,83,9,33,73,1,0
2017-01-15,4,0,5,38,81,9,34,72,1,0
2017-01-22,4,0,5,37,81,8,33,70,1,0
2017-01-29,4,0,5,35,81,9,34,74,1,0
2017-02-05,4,0,5,37,82,8,36,75,1,0
2017-02-12,5,0,5,36,82,7,35,74,1,0
2017-02-19,5,0,5,37,88,8,37,78,1,0
2017-02-26,4,0,5,37,87,8,37,81,1,0
2017-03-05,4,0,6,37,84,8,37,78,1,0
2017-03-12,4,0,5,37,84,9,37,77,1,0
2017-03-19,4,0,5,36,86,8,36,76,1,0
2017-03-26,5,0,5,36,85,8,37,77,1,0
2017-04-02,5,0,5,34,82,8,37,80,1,0
2017-04-09,5,0,5,35,85,8,34,77,1,0
2017-04-16,5,0,5,36,84,7,35,80,1,0
2017-04-23,5,0,5,35,84,7,37,77,1,0
2017-04-30,5,0,5,34,87,9,34,81,1,0
2017-05-07,5,0,5,36,85,8,34,83,1,0
2017-05-14,5,0,5,36,88,8,33,79,1,0
2017-05-21,5,0,5,36,91,8,33,79,1,0
2017-05-28,5,0,5,36,90,7,30,76,1,0
2017-06-04,5,0,5,35,90,8,32,84,1,0
2017-06-11,5,0,5,36,94,8,30,79,1,0
2017-06-18,5,0,5,38,95,9,30,81,1,0
2017-06-25,5,0,5,37,95,9,30,79,1,0
2017-07-02,8,0,4,36,94,8,30,81,1,0
2017-07-09,7,0,4,38,96,8,31,86,1,0
2017-07-16,5,0,5,38,93,8,30,88,1,0
2017-07-23,8,0,5,39,95,9,31,88,1,0
2017-07-30,10,0,5,38,99,9,30,94,1,0
2017-08-06,7,0,4,37,93,7,29,93,1,0
2017-08-13,5,0,4,37,92,7,28,88,1,0
2017-08-20,5,0,4,36,89,8,28,82,1,0
2017-08-27,5,0,5,36,86,8,29,80,1,0
2017-09-03,5,0,5,34,86,8,30,80,1,0
2017-09-10,6,0,5,35,84,9,35,80,1,0
2017-09-17,5,0,5,35,84,8,33,82,1,0
2017-09-24,5,0,5,36,85,9,33,79,1,0
2017-10-01,6,0,5,36,84,8,35,78,1,0
2017-10-08,5,0,5,36,80,8,37,80,1,0
2017-10-15,6,0,5,35,85,7,34,81,1,0
2017-10-22,5,0,5,35,84,8,35,78,1,0
2017-10-29,6,0,5,35,82,10,35,77,1,0
2017-11-05,5,0,5,35,82,11,36,81,1,0
